Q	C	D
460	0.07	2.25
470	0.07	2.17
480	0.07	2.19
490	0.07	2.39
500	0.07	2.34
510	0.07	2.48
520	0.07	2.52
530	0.08	2.4
540	0.08	2.56
550	0.08	2.35
560	0.09	2.45
570	0.08	2.66
580	0.08	2.93
590	0.09	2.62
600	0.09	2.81
610	0.09	2.98
620	0.09	2.76
630	0.09	2.73
640	0.1	2.9
650	0.1	3.17
660	0.1	3.06
670	0.1	3.14
680	0.1	3.4
690	0.1	3.21
700	0.1	3.18
710	0.11	3.32
720	0.11	3.32
730	0.1	3.36
740	0.1	3.16
750	0.1	3.26
760	0.12	3.24
770	0.11	3.32
780	0.12	3.31
790	0.12	3.53
800	0.12	3.49
810	0.12	3.6
820	0.13	3.62
830	0.13	3.61
840	0.12	3.65
850	0.13	3.67
860	0.13	3.87
870	0.13	4.04
880	0.13	3.89
890	0.13	3.96
900	0.14	3.86
910	0.13	4.08
920	0.14	4.06
930	0.14	4.25
940	0.14	4.24
950	0.14	4.15
960	0.15	4.1
970	0.15	4.51
980	0.16	4.42
990	0.16	4.5
1000	0.16	4.79
1010	0.16	4.68
1020	0.17	4.78
1030	0.16	4.69
1040	0.16	4.92
1050	0.16	4.76
1060	0.16	4.99
1070	0.16	4.92
1080	0.17	4.97
1090	0.17	5.11
1100	0.17	5.48
1110	0.17	4.94
1120	0.17	5.25
1130	0.18	5.22
1140	0.17	5.16
1150	0.17	5.32
1160	0.19	5.22
1170	0.19	5.28
1180	0.18	5.26
1190	0.19	5.63
1200	0.19	5.75
0	0	0.01
10	0	0.06
20	0	0.1
30	0	0.22
40	0	0.28
50	0.01	0.37
60	0.01	0.36
70	0.01	0.49
80	0.01	0.51
90	0.01	0.54
100	0.01	0.57
110	0.02	0.74
120	0.02	0.67
130	0.02	0.83
140	0.02	0.84
150	0.02	0.84
160	0.02	0.85
170	0.02	0.9
180	0.03	0.93
190	0.03	0.91
200	0.03	1.04
210	0.03	1
220	0.03	1.09
230	0.03	1.15
240	0.03	1.25
250	0.04	1.19
260	0.04	1.24
270	0.04	1.38
280	0.04	1.46
290	0.04	1.34
300	0.04	1.39
310	0.04	1.51
320	0.05	1.63
330	0.05	1.61
340	0.05	1.59
350	0.05	1.64
360	0.05	1.65
370	0.05	1.78
380	0.05	1.7
390	0.06	1.89
400	0.06	1.82
410	0.06	1.95
420	0.06	1.99
430	0.06	1.98
440	0.06	2.03
450	0.06	1.93
460	0.07	1.95
470	0.07	2.27
480	0.07	2.25
490	0.07	2.29
500	0.07	2.26
510	0.07	2.52
520	0.07	2.69
530	0.07	2.35
540	0.08	2.67
550	0.08	2.59
560	0.08	2.54
570	0.08	2.53
580	0.09	2.82
590	0.09	2.62
600	0.09	2.75
610	0.09	2.97
620	0.09	2.81
630	0.09	3
640	0.09	2.83
650	0.09	3.02
660	0.1	2.93
670	0.1	3.04
680	0.1	2.94
690	0.1	3.22
700	0.1	3.14
710	0.1	3.49
720	0.1	3.34
730	0.1	3.36
740	0.1	3.1
750	0.1	3.27
760	0.11	3.48
770	0.11	3.43
780	0.11	3.36
790	0.11	3.23
800	0.11	3.32
810	0.12	3.41
820	0.12	3.69
830	0.12	3.47
840	0.12	3.64
850	0.12	3.73
860	0.12	3.6
870	0.13	3.82
880	0.13	3.83
890	0.13	3.88
900	0.13	4.26
910	0.13	4.12
920	0.13	4.44
930	0.14	4.46
940	0.14	4.35
950	0.14	4.21
960	0.14	4.25
970	0.14	4.38
980	0.14	4.28
990	0.15	4.92
1000	0.15	4.62
1010	0.16	4.79
1020	0.16	4.84
1030	0.15	4.61
1040	0.16	4.72
1050	0.16	4.98
1060	0.16	5.01
1070	0.17	5.23
1080	0.16	5.02
1090	0.16	5.35
1100	0.17	5.23
1110	0.17	5.21
1120	0.17	5.32
1130	0.17	5.17
1140	0.17	5.4
1150	0.17	5.17
1160	0.17	5.44
1170	0.18	5.34
1180	0.17	5.33
1190	0.18	5.56
1200	0.18	5.73
0	0	0.01
10	0	0.07
20	0	0.1
30	0	0.21
40	0	0.25
50	0.01	0.28
60	0.01	0.34
70	0.01	0.43
80	0.01	0.5
90	0.01	0.5
100	0.01	0.57
110	0.02	0.62
120	0.02	0.65
130	0.02	0.78
140	0.02	0.9
150	0.02	0.87
160	0.02	0.85
170	0.02	0.99
180	0.03	1
190	0.03	0.9
200	0.03	0.97
210	0.03	0.99
220	0.03	1.1
230	0.03	1.27
240	0.03	1.17
250	0.04	1.24
260	0.04	1.32
270	0.04	1.39
280	0.04	1.42
290	0.04	1.3
300	0.04	1.3
310	0.04	1.65
320	0.05	1.53
330	0.05	1.43
340	0.05	1.47
350	0.05	1.66
360	0.06	1.69
370	0.05	1.73
380	0.05	1.67
390	0.06	1.77
400	0.06	1.91
410	0.06	1.81
420	0.06	1.99
430	0.06	1.94
440	0.06	2.14
450	0.07	2.08
460	0.07	2.22
470	0.07	2.17
480	0.07	2.15
490	0.07	2.27
500	0.07	2.26
510	0.07	2.29
520	0.07	2.34
530	0.08	2.22
540	0.08	2.42
550	0.08	2.43
560	0.08	2.67
570	0.08	2.56
580	0.08	2.61
590	0.09	2.75
600	0.09	2.9
610	0.09	2.68
620	0.09	2.92
630	0.09	2.77
640	0.09	2.85
650	0.1	3.14
660	0.09	3.07
670	0.1	3.05
680	0.1	3.04
690	0.1	2.91
700	0.1	2.93
710	0.1	3.13
720	0.11	3.01
730	0.11	3.18
740	0.1	3.12
750	0.1	3.34
760	0.11	3.46
770	0.11	3.25
780	0.11	3.39
790	0.11	3.41
800	0.11	3.64
810	0.12	3.55
820	0.12	3.9
830	0.12	3.73
840	0.12	3.56
850	0.12	4.05
860	0.12	3.89
870	0.13	3.89
880	0.13	4.03
890	0.13	4.01
900	0.13	4.2
910	0.13	4.22
920	0.14	4.17
930	0.13	4.35
940	0.14	4.33
950	0.14	4.41
960	0.14	4.35
970	0.15	4.53
980	0.14	4.36
990	0.15	4.58
1000	0.15	4.48
1010	0.15	4.96
1020	0.15	5.15
1030	0.16	4.95
1040	0.16	5.43
1050	0.16	4.8
1060	0.16	4.96
1070	0.16	5.05
1080	0.17	5.02
1090	0.17	5.19
1100	0.17	5.22
1110	0.17	5.37
1120	0.17	5.32
1130	0.17	5.13
1140	0.17	5.3
1150	0.17	5.59
1160	0.17	5.45
1170	0.18	5.4
1180	0.18	5.41
1190	0.18	6.18
1200	0.19	5.67
0	0	0.01
10	0	0.08
20	0	0.19
30	0	0.33
40	0	0.28
50	0.01	0.33
60	0.01	0.38
70	0.01	0.48
80	0.01	0.47
90	0.01	0.55
100	0.02	0.61
110	0.02	0.66
120	0.02	0.75
130	0.02	0.83
140	0.02	0.86
150	0.02	0.81
160	0.02	0.84
170	0.03	0.89
180	0.03	0.9
190	0.03	0.94
200	0.03	0.97
210	0.03	0.99
220	0.03	1.16
230	0.03	1.12
240	0.03	1.18
250	0.04	1.28
260	0.04	1.31
270	0.04	1.34
280	0.04	1.29
290	0.04	1.31
300	0.04	1.48
310	0.04	1.42
320	0.05	1.61
330	0.05	1.59
340	0.05	1.63
350	0.05	1.74
360	0.05	1.66
370	0.05	1.59
380	0.05	1.87
390	0.06	2.03
400	0.06	1.91
410	0.06	1.84
420	0.06	1.87
430	0.06	1.9
440	0.06	2.05
450	0.06	2.2
460	0.07	2.18
470	0.07	2.05
480	0.07	2.14
490	0.07	2.2
500	0.07	2.28
510	0.07	2.43
520	0.08	2.38
530	0.07	2.35
540	0.08	2.4
550	0.08	2.35
560	0.08	2.4
570	0.08	2.5
580	0.08	2.67
590	0.09	2.71
600	0.09	2.68
610	0.09	2.74
620	0.09	2.85
630	0.09	2.97
640	0.09	2.93
650	0.1	3.12
660	0.09	2.9
670	0.1	2.99
680	0.1	3.17
690	0.1	3.1
700	0.1	3.22
710	0.1	3.26
720	0.1	3.39
730	0.11	3.19
740	0.1	3.14
750	0.1	3.13
760	0.11	3.42
770	0.11	3.41
780	0.11	3.53
790	0.11	3.32
800	0.11	3.42
810	0.11	3.57
820	0.12	3.56
830	0.12	3.57
840	0.12	3.85
850	0.12	3.63
860	0.12	3.64
870	0.13	3.81
880	0.13	3.95
890	0.13	4.24
900	0.14	4.25
910	0.13	4.04
920	0.14	3.95
930	0.14	4.58
940	0.14	4.18
950	0.14	4.33
960	0.14	4.38
970	0.14	4.54
980	0.15	4.62
990	0.15	4.62
1000	0.15	4.8
1010	0.15	4.6
1020	0.15	4.83
1030	0.16	4.9
1040	0.15	5.11
1050	0.16	5.03
1060	0.16	5.19
1070	0.16	4.95
1080	0.16	4.89
1090	0.16	4.85
1100	0.17	4.85
1110	0.17	5.02
1120	0.17	5.1
1130	0.17	5.12
1140	0.17	5.3
1150	0.17	5.5
1160	0.17	5.49
1170	0.17	5.45
1180	0.17	5.38
1190	0.18	5.63
1200	0.19	5.71
0	0	0.01
10	0	0.05
20	0	0.11
30	0	0.22
40	0	0.24
50	0.01	0.3
60	0.01	0.35
70	0.01	0.41
80	0.01	0.54
90	0.01	0.52
100	0.01	0.64
110	0.02	0.6
120	0.02	0.7
130	0.02	0.74
140	0.02	0.77
150	0.02	0.83
160	0.02	0.8
170	0.02	0.86
180	0.02	0.86
190	0.03	0.89
200	0.03	0.89
210	0.03	1
220	0.03	1.03
230	0.03	1.15
240	0.03	1.28
250	0.04	1.2
260	0.04	1.33
270	0.04	1.33
280	0.04	1.42
290	0.04	1.44
300	0.04	1.31
310	0.04	1.46
320	0.05	1.63
330	0.05	1.71
340	0.05	1.71
350	0.05	1.65
360	0.05	1.7
370	0.05	1.75
380	0.05	1.72
390	0.06	1.78
400	0.06	1.82
410	0.06	1.81
420	0.06	1.96
430	0.06	1.9
440	0.06	1.92
450	0.07	2.04
460	0.07	2.08
470	0.07	2.1
480	0.07	2.15
490	0.07	2.32
500	0.07	2.28
510	0.07	2.29
520	0.07	2.32
530	0.07	2.24
540	0.08	2.33
550	0.08	2.61
560	0.08	2.69
570	0.08	2.55
580	0.08	2.57
590	0.09	2.93
600	0.09	2.85
610	0.09	2.93
620	0.09	2.92
630	0.09	2.9
640	0.09	2.99
650	0.09	2.96
660	0.09	3.21
670	0.1	3.13
680	0.1	3.12
690	0.1	3.18
700	0.1	3.08
710	0.1	3.19
720	0.1	3.24
730	0.1	3.49
740	0.1	3.17
750	0.1	3.46
760	0.11	3.35
770	0.11	3.24
780	0.11	3.36
790	0.11	3.29
800	0.11	3.34
810	0.11	3.7
820	0.11	3.59
830	0.12	3.78
840	0.12	3.83
850	0.12	3.51
860	0.12	3.72
870	0.13	3.96
880	0.13	3.86
890	0.13	3.99
900	0.13	4.1
910	0.13	4.05
920	0.13	4.37
930	0.13	4.19
940	0.14	4.29
950	0.14	4.17
960	0.14	4.54
970	0.14	4.63
980	0.14	4.45
990	0.15	4.45
1000	0.15	4.51
1010	0.15	4.8
1020	0.16	4.64
1030	0.16	4.71
1040	0.16	4.91
1050	0.16	4.84
1060	0.16	4.74
1070	0.16	4.75
1080	0.16	4.85
1090	0.16	5.05
1100	0.16	5.03
